age,income,education_years,credit_score,employment_status,loan_approved
30,30914,10,672,employed,0
29,83384,19,726,employed,1
40,55491,13,651,self-employed,0
24,64027,17,691,employed,1
68,78321,10,727,employed,1
70,133536,22,788,employed,1
21,59786,18,675,employed,1
23,88984,20,696,employed,1
21,71469,19,590,unemployed,0
26,28059,10,634,employed,0
23,80348,22,728,self-employed,1
70,65456,11,702,employed,1
59,51269,10,681,employed,1
52,95643,18,741,employed,1
63,92785,12,690,employed,1
56,46495,10,675,employed,1
30,39646,13,625,employed,0
63,102558,18,757,employed,1
55,113897,18,678,unemployed,0
64,101755,18,706,employed,1
65,126244,22,715,employed,1
50,79704,17,682,employed,1
36,61723,14,706,employed,1
66,85168,12,610,unemployed,0
55,99962,15,733,employed,1
61,112144,21,751,self-employed,1
51,95973,16,673,employed,1
40,109441,20,681,employed,1
25,57146,17,677,employed,1
44,116739,21,707,employed,1
58,98596,19,675,employed,1
70,89513,10,678,unemployed,0
55,88285,16,743,employed,1
56,103045,19,761,employed,1
53,52588,10,625,employed,1
67,120740,20,717,self-employed,1
23,102609,22,714,self-employed,1
51,99267,19,679,employed,1
23,33571,13,645,employed,0
68,88785,15,723,employed,1
35,63548,16,655,employed,1
39,52472,10,675,employed,1
27,50843,15,645,self-employed,0
41,63168,15,698,employed,1
44,60556,10,729,employed,1
65,77024,14,660,self-employed,1
30,28225,10,639,employed,0
66,99126,16,737,employed,1
27,87127,21,673,employed,1
25,77452,22,692,self-employed,1
70,66352,11,652,employed,1
24,52349,17,624,employed,1
38,83530,19,696,employed,1
22,66702,18,726,employed,1
30,51728,14,643,self-employed,0
53,106260,18,606,unemployed,0
22,92067,21,742,employed,1
37,32042,10,674,employed,0
22,72694,17,656,employed,1
25,57958,18,707,employed,1
67,97360,17,713,self-employed,1
69,102843,16,762,employed,1
31,43197,12,569,unemployed,0
69,63324,10,657,self-employed,1
50,85499,19,708,employed,1
23,22324,10,603,employed,0
51,102243,19,699,self-employed,1
50,103629,17,626,unemployed,0
54,71815,14,694,self-employed,1
63,116727,17,658,unemployed,0
50,109726,21,685,employed,1
48,89332,20,734,employed,1
46,52430,12,623,employed,1
47,98604,20,690,employed,1
56,84542,16,641,self-employed,0
32,72362,15,589,unemployed,0
40,74857,13,639,self-employed,0
51,98558,19,712,employed,1
52,49865,11,694,employed,1
51,60863,13,671,employed,1
60,77334,10,722,employed,1
54,60949,13,674,employed,1
22,50593,12,683,employed,1
63,114816,18,731,self-employed,1
68,104639,18,768,employed,1
51,126386,22,779,employed,1
36,105016,21,683,employed,1
24,45541,12,664,employed,1
54,95997,19,742,employed,1
33,64239,13,656,self-employed,1
53,53133,10,677,employed,1
20,36981,13,660,employed,0
29,55804,15,580,unemployed,0
27,31236,11,611,self-employed,0
50,89138,17,680,employed,1
21,80092,19,632,unemployed,0
60,122762,21,748,employed,1
31,83989,20,661,employed,1
70,94685,11,749,employed,1
40,72896,18,572,unemployed,0
35,44624,10,617,employed,1
22,16931,10,592,employed,0
53,90419,15,714,self-employed,1
62,130434,20,783,employed,1
49,109473,19,692,employed,1
31,51260,12,674,employed,1
52,58929,12,709,employed,1
37,44984,10,681,employed,1
59,105569,19,742,employed,1
49,50098,12,610,self-employed,0
58,124809,20,678,self-employed,1
23,21932,10,634,employed,0
45,73821,16,730,employed,1
38,77659,16,629,unemployed,0
65,136551,21,761,employed,1
21,56309,15,660,employed,1
55,70514,13,660,employed,1
33,83030,18,635,unemployed,0
41,119560,22,724,employed,1
31,62352,16,701,employed,1
